id,title,old_filename,file_name,volume,year
58821,Domino Biscuit,058821.pdf,Domino Biscuit.pdf,Vol1,1975
200410,Don't Blame Me,200410.pdf,Don't Blame Me.pdf,Vol1,1932
663250,Don't Ever Go Away (Por Causa De Voce),663250.pdf,Don't Ever Go Away Por Causa De Voce.pdf,Vol3,1965
200735,Don't Explain,200735.pdf,Don't Explain.pdf,Vol2,1946
200875,Don't Get Around Much Anymore,200875.pdf,Don't Get Around Much Anymore.pdf,Vol1,1942
45101,Don't Know Why,045101.pdf,Don't Know Why.pdf,Vol3,2002
202125,Don't Take Your Love From Me,202125.pdf,Don't Take Your Love From Me.pdf,Vol3,1941
202201,Don't Worry 'Bout Me,202201.pdf,Don't Worry 'Bout Me.pdf,Vol3,1939
203260,Donna Lee,203260.pdf,Donna Lee.pdf,Vol1,1947
15532,Down For Double,015532.pdf,Down For Double.pdf,Vol2,1941
207120,Doxy,207120.pdf,Doxy.pdf,Vol2,1963
207670,Dream A Little Dream Of Me,207670.pdf,Dream A Little Dream Of Me.pdf,Vol1,1930
208160,Dream Dancing,208160.pdf,Dream Dancing.pdf,Vol3,1941
209160,Dreamsville,209160.pdf,Dreamsville.pdf,Vol1,1959
951401,Dreamy,951401.pdf,Dreamy.pdf,Vol3,1956
1208,Drop Me Off In Harlem,001208.pdf,Drop Me Off In Harlem.pdf,Vol3,1933
56552,Duff,056552.pdf,Duff.pdf,Vol2,1956
983332,E.S.P.,983332.pdf,E.S.P..pdf,Vol1,1965
216400,Early Autumn,216400.pdf,Early Autumn.pdf,Vol2,1949
31626,Early Morning Mood,031626.pdf,Early Morning Mood.pdf,Vol3,1959
216790,East Of The Sun (And West Of The Moon),216790.pdf,East Of The Sun And West Of The Moon.pdf,Vol3,1934
1372,East St. Louis Toodle-oo,001372.pdf,East St. Louis Toodle-oo.pdf,Vol3,1927
55657,East To Wes,055657.pdf,East To Wes.pdf,Vol3,1988
217170,Easter Parade,217170.pdf,Easter Parade.pdf,Vol1,1933
860,Easy Living,000860.pdf,Easy Living.pdf,Vol1,1937
10132,Easy Street,010132.pdf,Easy Street.pdf,Vol3,1941
217740,Easy To Love (You'd Be So Easy To Love),217740.pdf,Easy To Love You'd Be So Easy To Love.pdf,Vol1,1936
992455,Ecclusiastics,992455.pdf,Ecclusiastics.pdf,Vol1,1975
954417,Eclypso,954417.pdf,Eclypso.pdf,Vol2,1991
983329,Eighty One,983329.pdf,Eighty One.pdf,Vol1,1965
12146,Einbahnstrasse,012146.pdf,Einbahnstrasse.pdf,Vol2,1966
31778,El Gaucho,031778.pdf,El Gaucho.pdf,Vol1,1968
12323,Eleven Four,012323.pdf,Eleven Four.pdf,Vol3,1961
39746,Elogie,039746.pdf,Elogie.pdf,Vol3,1956
54994,Elora,054994.pdf,Elora.pdf,Vol2,1965
223310,Emancipation Blues,223310.pdf,Emancipation Blues.pdf,Vol2,1963
60136,Epilogue,060136.pdf,Epilogue.pdf,Vol2,1965
986058,Epistrophy,986058.pdf,Epistrophy.pdf,Vol1,1947
225620,Equinox,225620.pdf,Equinox.pdf,Vol1,1977
55649,Equipoise,055649.pdf,Equipoise.pdf,Vol1,1968
988161,Estate,988161.pdf,Estate.pdf,Vol2,1960
233610,Ev'ry Time We Say Goodbye,233610.pdf,Ev'ry Time We Say Goodbye.pdf,Vol3,1944
232900,Ev'rything I Love,232900.pdf,Ev'rything I Love.pdf,Vol3,1941
232850,Everything Happens To Me,232850.pdf,Everything Happens To Me.pdf,Vol3,1941
232880,Everything I Have Is Yours,232880.pdf,Everything I Have Is Yours.pdf,Vol2,1933
233800,Exactly Like You,233800.pdf,Exactly Like You.pdf,Vol3,1930
61135,Eye Of The Hurricane,061135.pdf,Eye Of The Hurricane.pdf,Vol2,1982
