id	file_name	title	title_playlist	playlist	composer	year	year_truncated	tonality	tune_key	tune_mode	structure	num_bars	time_signature	cycle_fifths_order	style	musicbrainz_id	wikidata_id	wikidata_allmusic	wiki_link	wikidata_description	lyricist
1417	dataset/trad/On The Alamo.xml	On The Alamo	On The Alamo [trad]	trad	Isham Jones	1922.0	1922.0	Eb major	Eb	major	ABAC	32.0	4/4	-3.0	Medium Swing	eda9342d-e455-3bb2-9de2-43c71d078b61	Q17041312		https://en.wikipedia.org/wiki/On_the_Alamo	1922 song by Isham Jones, Gilbert Keyes (Gus Kahn) and Joe Lyons	Gus Kahn, Joe Lyons
1418	dataset/trad/On Treasure Island.xml	On Treasure Island	On Treasure Island [trad]	trad	Joe Burke	1935.0	1935.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Medium Swing	91b9c30f-723a-4877-8459-112a1bfd6d09					Edgar Leslie
1419	dataset/trad/Once In A While (Ballad).xml	Once In A While (Ballad)	Once In A While (Ballad) [trad]	trad	Michael Edwards	1937.0	1937.0	Eb major	Eb	major	AABA	32.0	4/4	-3.0	Slow Swing	cf919275-effe-324f-8531-0fcc2624c44b	Q17041410		https://en.wikipedia.org/wiki/Once_in_a_While_(1937_song)	song performed by Tommy Dorsey	Bud Green
1420	dataset/trad/Only A Look.xml	Only A Look	Only A Look [trad]	trad	Marshall, Shepherd	1948.0	1948.0	F major	F	major	A	16.0	3/4	-1.0	Medium Waltz						
1421	dataset/trad/Out In The Cold Again.xml	Out In The Cold Again	Out In The Cold Again [trad]	trad	Rube Bloom	1934.0	1934.0	F major	F	major	AABA	32.0	4/4	-1.0	Medium Swing	11ca6103-75d7-3d73-bdda-17610335663a					Ted Koehler
1422	dataset/trad/Out Of The Gallion.xml	Out Of The Gallion	Out Of The Gallion [trad]	trad	Mezz Mezzrow	1946.0	1946.0	Bb major	Bb	major	AAB	28.0	4/4	-2.0	Medium Swing	4b301d9e-96b9-4d2c-9c0c-bb9261e523c0					
1423	dataset/trad/Painting The Clouds With Sunshine.xml	Painting The Clouds With Sunshine	Painting The Clouds With Sunshine [trad]	trad	Joe Burke	1929.0	1929.0	F major	F	major	AABA	32.0	4/4	-1.0	Medium Swing	bdce65b7-be19-44c3-a48a-fc002fc8dd4b					Al Dubin
1424	dataset/trad/Peg O' My Heart.xml	Peg O' My Heart	Peg O' My Heart [trad]	trad	Fred Fisher	1913.0	1913.0	Bb major	Bb	major	AA	16.0	4/4	-2.0	Medium Swing	877bf8d8-2fe3-47a3-a067-d6e59d2971a1	Q7160526		https://en.wikipedia.org/wiki/Peg_o%27_My_Heart	1913 song	Alfred Bryan
1425	dataset/trad/Pennies From Heaven (Dixieland Tunes).xml	Pennies From Heaven	Pennies From Heaven [trad]	trad	Arthur Johnston	1936.0	1936.0	Bb major	Bb	major	AB	32.0	4/4	-2.0	Medium Swing	749be9c3-84ef-3e48-8fa1-844e3de1e5ad	Q3110010	mc0002512730	https://en.wikipedia.org/wiki/Pennies_from_Heaven_(song)	1936 song by Arthur Johnston and Johnny Burke	Johnny Burke
1426	dataset/trad/Please Don't Talk About Me When I'm Gone.xml	Please Don't Talk About Me When I'm Gone	Please Don't Talk About Me When I'm Gone [trad]	trad	Sam H. Stept	1930.0	1930.0	Eb major	Eb	major	AABA	32.0	4/4	-3.0	Medium Swing	b22794ef-ffc9-3e6a-b745-748119d2f19a	Q7204206		https://en.wikipedia.org/wiki/Please_Don%27t_Talk_About_Me_When_I%27m_Gone	original song composed by Sam H. Stept with lyrics by Sidney Clare	Sidney Clare
1427	dataset/trad/Poor Butterfly (Dixieland Tunes).xml	Poor Butterfly	Poor Butterfly [trad]	trad	John Raymond Hubbell	1916.0	1916.0	Ab major	Ab	major	ABAC	32.0	4/4	-4.0	Ballad	54c0e90d-5493-4282-93f3-34eb984c5b9a	Q7228764		https://en.wikipedia.org/wiki/Poor_Butterfly	song composed by John Raymond Hubbell	John L. Golden
1428	dataset/trad/Porter's Love Song To A Chambermaid, A.xml	Porter's Love Song To A Chambermaid, A	Porter's Love Song To A Chambermaid, A [trad]	trad	James P. Johnson	1930.0	1930.0	F major	F	major	AABA	32.0	4/4	-1.0	Medium Swing	9b7f1614-c283-48d4-b152-aa50af302642					Andy Razaf
1429	dataset/trad/Postman's Lament.xml	Postman's Lament	Postman's Lament [trad]	trad	Bob Stanley	1951.0	1951.0	Ab major	Ab	major	AA	16.0	4/4	-4.0	Medium Swing	ea4da839-60d6-41f4-ae4f-1043c928da3e					
1429	dataset/trad/Postman's Lament.xml	Postman's Lament	Postman's Lament [trad]	trad	Pete Wiggs	1951.0	1951.0	Ab major	Ab	major	AA	16.0	4/4	-4.0	Medium Swing	ea4da839-60d6-41f4-ae4f-1043c928da3e					
1429	dataset/trad/Postman's Lament.xml	Postman's Lament	Postman's Lament [trad]	trad	Sarah Cracknell	1951.0	1951.0	Ab major	Ab	major	AA	16.0	4/4	-4.0	Medium Swing	ea4da839-60d6-41f4-ae4f-1043c928da3e					
1430	dataset/trad/Pretend You're Happy When You're Blue.xml	Pretend You're Happy When You're Blue	Pretend You're Happy When You're Blue [trad]	trad	Douglas, Parman, Lavere	1952.0	1952.0	Bb major	Bb	major	AABA	32.0	4/4	-2.0	Medium Swing						
1431	dataset/trad/Ramblin' Rose.xml	Ramblin' Rose	Ramblin' Rose [trad]	trad	Joe Sherman	1962.0	1962.0	Bb major	Bb	major	A	16.0	4/4	-2.0	Medium Swing	b23c5aeb-937d-3841-8e15-e22b2f9e9ca4	Q7289238		https://en.wikipedia.org/wiki/Ramblin%27_Rose	1962 single by Nat King Cole	
1431	dataset/trad/Ramblin' Rose.xml	Ramblin' Rose	Ramblin' Rose [trad]	trad	Noel Sherman	1962.0	1962.0	Bb major	Bb	major	A	16.0	4/4	-2.0	Medium Swing	b23c5aeb-937d-3841-8e15-e22b2f9e9ca4	Q7289238		https://en.wikipedia.org/wiki/Ramblin%27_Rose	1962 single by Nat King Cole	
1432	dataset/trad/Red Sails In The Sunset.xml	Red Sails In The Sunset	Red Sails In The Sunset [trad]	trad	Wilhelm Grosz	1935.0	1935.0	F major	F	major	AABA	32.0	4/4	-1.0	Medium Swing	52e8e6e7-98cc-3e9b-b31d-f01523f431b1	Q1988450		https://en.wikipedia.org/wiki/Red_Sails_in_the_Sunset_(song)	single by Fats Domino	Jimmy Kennedy
